Guideline,Section,Topic,Identifier,Revision,Updated,All,OS,P,S,TS,ML1,ML2,ML3,Description,Responsible Entity,Implementation Status,Implementation Comments
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1409,4,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"Operating systems are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-0380,9,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unneeded accounts, components, services and functionality of operating systems are disabled or removed.",,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-0383,8,45648,Yes,Yes,Yes,Yes,Yes,No,No,No,"Default accounts or credentials for operating systems, including for any pre-configured accounts, are changed.",,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-0341,4,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,Automatic execution features for removable media are disabled.,,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1654,0,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Internet Explorer 11 is disabled or removed.,,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1655,0,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,.NET Framework 3.5 (includes .NET 2.0 and 3.0) is disabled or removed.,,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1492,2,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,Operating system exploit protection functionality is enabled.,,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1745,0,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Early Launch Antimalware, Secure Boot, Trusted Boot and Measured Boot functionality is enabled.",,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1584,1,45556,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unprivileged users are prevented from bypassing, disabling or modifying security functionality of operating systems.",,,
Guidelines for System Hardening,Operating system hardening,Hardening operating system configurations,ISM-1491,3,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unprivileged users are prevented from running script execution engines, including:
• Windows Script Host (cscript.exe and wscript.exe)
• PowerShell (powershell.exe, powershell_ise.exe and pwsh.exe)
• Command Prompt (cmd.exe)
• Windows Management Instrumentation (wmic.exe)
• Microsoft Hypertext Markup Language (HTML) Application Host (mshta.exe).",,,
Guidelines for System Hardening,Operating system hardening,Application management,ISM-1592,1,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged users do not have the ability to install unapproved software.,,,
Guidelines for System Hardening,Operating system hardening,Application management,ISM-0382,7,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged users do not have the ability to uninstall or disable approved software.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-0843,9,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Application control is implemented on workstations.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1490,3,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Application control is implemented on internet-facing servers.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1656,0,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Application control is implemented on non-internet-facing servers.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1870,0,45558,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Application control is applied to user profiles and temporary folders used by operating systems, web browsers and email clients.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1871,0,45558,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Application control is applied to all locations other than user profiles and temporary folders used by operating systems, web browsers and email clients.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1657,0,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1658,0,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Application control restricts the execution of drivers to an organisation-approved set.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-0955,6,45402,Yes,Yes,Yes,Yes,Yes,No,No,No,"Application control is implemented using cryptographic hash rules, publisher certificate rules or path rules.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1471,2,45402,Yes,Yes,Yes,Yes,Yes,No,No,No,"When implementing application control using publisher certificate rules, both publisher names and product names are used.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1392,4,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"When implementing application control using path rules, only approved users can modify approved files and write to approved folders.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1746,1,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"When implementing application control using path rules, only approved users can change file system permissions for approved files and folders.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1544,3,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft’s recommended application blocklist is implemented.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1659,1,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft’s vulnerable driver blocklist is implemented.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1582,1,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Application control rulesets are validated on an annual or more frequent basis.,,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-0846,8,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"All users (with the exception of local administrator accounts and break glass accounts) cannot disable, bypass or be exempted from application control.",,,
Guidelines for System Hardening,Operating system hardening,Application control,ISM-1660,2,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Allowed and blocked application control events are centrally logged.,,,
Guidelines for System Hardening,Operating system hardening,Command Shell,ISM-1889,0,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Command line process creation events are centrally logged.,,,
Guidelines for System Hardening,Operating system hardening,PowerShell,ISM-1621,1,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Windows PowerShell 2.0 is disabled or removed.,,,
Guidelines for System Hardening,Operating system hardening,PowerShell,ISM-1622,0,45585,Yes,Yes,Yes,Yes,Yes,No,No,Yes,PowerShell is configured to use Constrained Language Mode.,,,
Guidelines for System Hardening,Operating system hardening,PowerShell,ISM-1623,1,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"PowerShell module logging, script block logging and transcription events are centrally logged.",,,
Guidelines for System Hardening,Operating system hardening,PowerShell,ISM-1624,0,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,PowerShell script block logs are protected by Protected Event Logging functionality.,,,
Guidelines for System Hardening,Operating system hardening,Host-based Intrusion Prevention System,ISM-1341,2,45553,Yes,Yes,Yes,Yes,Yes,No,No,No,A HIPS is implemented on workstations.,,,
Guidelines for System Hardening,Operating system hardening,Host-based Intrusion Prevention System,ISM-1034,7,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,A HIPS is implemented on critical servers and high-value servers.,,,
Guidelines for System Hardening,Operating system hardening,Software firewall,ISM-1416,3,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,A software firewall is implemented on workstations and servers to restrict inbound and outbound network connections to an organisation-approved set of applications and services.,,,
Guidelines for System Hardening,Operating system hardening,Antivirus software,ISM-1417,4,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Antivirus software is implemented on workstations and servers with:
• signature-based detection functionality enabled and set to a high level
• heuristic-based detection functionality enabled and set to a high level
• reputation rating functionality enabled
• ransomware protection functionality enabled
• detection signatures configured to update on at least a daily basis
• regular scanning configured for all fixed disks and removable media.",,,
Guidelines for System Hardening,Operating system hardening,Device access control software,ISM-1418,4,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"If there is no business requirement for reading from removable media and devices, such functionality is disabled via the use of device access control software or by disabling external communication interfaces.",,,
Guidelines for System Hardening,Operating system hardening,Device access control software,ISM-0343,6,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"If there is no business requirement for writing to removable media and devices, such functionality is disabled via the use of device access control software or by disabling external communication interfaces.",,,
Guidelines for System Hardening,Operating system hardening,Device access control software,ISM-0345,6,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,External communication interfaces that allow DMA are disabled.,,,
Guidelines for System Hardening,Operating system hardening,Operating system event logging,ISM-0582,8,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"The following events are centrally logged for operating systems:
• application and operating system crashes and error messages
• changes to security policies and system configurations
• successful user logons and logoffs, failed user logons and account lockouts
• failures, restarts and changes to important processes and services
• requests to access internet resources
• security product-related events
• system startups and shutdowns.",,,
Guidelines for System Hardening,User application hardening,User application selection,ISM-0938,6,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"User applications are chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products.",,,
Guidelines for System Hardening,User application hardening,User application releases,ISM-1467,3,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"The latest release of office productivity suites, web browsers and their extensions, email clients, PDF software, and security products are used.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1806,1,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"Default accounts or credentials for user applications, including for any pre-configured accounts, are changed.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1470,5,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unneeded components, services and functionality of office productivity suites, web browsers, email clients, PDF software and security products are disabled or removed.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1235,4,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Add-ons, extensions and plug-ins for office productivity suites, web browsers, email clients, PDF software and security products are restricted to an organisation-approved set.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1667,0,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft Office is blocked from creating child processes.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1668,0,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft Office is blocked from creating executable content.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1669,0,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft Office is blocked from injecting code into other processes.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1542,0,45310,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft Office is configured to prevent activation of Object Linking and Embedding packages.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1859,2,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Office productivity suites are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1823,0,45374,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Office productivity suite security settings cannot be changed by users.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1486,1,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Web browsers do not process Java from the internet.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1485,1,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Web browsers do not process web advertisements from the internet.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1412,6,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Web browsers are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1585,2,45374,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Web browser security settings cannot be changed by users.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1670,0,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PDF software is blocked from creating child processes.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1860,2,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"PDF software is hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1824,0,45374,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,PDF software security settings cannot be changed by users.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1601,1,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,Microsoft’s attack surface reduction rules are implemented.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1748,1,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Email client security settings cannot be changed by users.,,,
Guidelines for System Hardening,User application hardening,Hardening user application configurations,ISM-1825,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Security product security settings cannot be changed by users.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1671,0,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1488,1,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macros in files originating from the internet are blocked.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1672,0,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macro antivirus scanning is enabled.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1673,0,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Microsoft Office macros are blocked from making Win32 API calls.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1674,0,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,"Only Microsoft Office macros running from within a sandboxed environment, a Trusted Location or that are digitally signed by a trusted publisher are allowed to execute.",,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1890,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office macros are checked to ensure they are free of malicious code before being digitally signed or placed within Trusted Locations.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1487,2,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Only privileged users responsible for checking that Microsoft Office macros are free of malicious code can write to and modify content within Trusted Locations.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1675,0,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office macros digitally signed by an untrusted publisher cannot be enabled via the Message Bar or Backstage View.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1891,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office macros digitally signed by signatures other than V3 signatures cannot be enabled via the Message Bar or Backstage View.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1676,0,45556,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Microsoft Office’s list of trusted publishers is validated on an annual or more frequent basis.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1489,0,45553,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Microsoft Office macro security settings cannot be changed by users.,,,
Guidelines for System Hardening,User application hardening,Microsoft Office macros,ISM-1677,2,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Allowed and blocked Microsoft Office macro execution events are centrally logged.,,,
Guidelines for System Hardening,Server application hardening,Server application selection,ISM-1826,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"Server applications are chosen from vendors that have demonstrated a commitment to secure-by-design and secure-by-default principles, use of memory-safe programming languages where possible, secure programming practices, and maintaining the security of their products.",,,
Guidelines for System Hardening,Server application hardening,Server application releases,ISM-1483,2,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,The latest release of internet-facing server applications are used.,,,
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,ISM-1246,6,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,"Server applications are hardened using ASD and vendor hardening guidance, with the most restrictive guidance taking precedence when conflicts occur.",,,
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,ISM-1260,4,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"Default accounts or credentials for server applications, including for any pre-configured accounts, are changed.",,,
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,ISM-1247,4,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"Unneeded accounts, components, services and functionality of server applications are disabled or removed.",,,
Guidelines for System Hardening,Server application hardening,Hardening server application configurations,ISM-1245,3,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,All temporary installation files and logs created during server application installation processes are removed after server applications have been installed.,,,
Guidelines for System Hardening,Server application hardening,Restricting privileges for server applications,ISM-1249,3,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Server applications are configured to run as a separate account with the minimum privileges needed to perform their functions.,,,
Guidelines for System Hardening,Server application hardening,Restricting privileges for server applications,ISM-1250,2,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,The accounts under which server applications run have limited access to their underlying server’s file system.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1827,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Microsoft AD DS domain controllers are administered using dedicated domain administrator user accounts that are not used to administer other systems.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1828,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,The Print Spooler service is disabled on Microsoft AD DS domain controllers.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1829,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Passwords and cpasswords are not used in Group Policy Preferences.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services domain controllers,ISM-1830,1,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Security-related events for Microsoft AD DS are centrally logged.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1832,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Only service accounts and computer accounts are configured with Service Principal Names (SPNs).,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1833,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Service accounts are provisioned with the minimum privileges required and are not members of the domain administrators group or similar highly privileged groups.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1834,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Duplicate SPNs do not exist within the domain.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1835,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Privileged user accounts are configured as sensitive and cannot be delegated.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1836,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,User accounts require Kerberos pre-authentication.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1837,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,User accounts are not configured with password never expires or password not required.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1838,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,The UserPassword attribute for user accounts is not used.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1839,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Account properties accessible by unprivileged users are not used to store passwords.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1840,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,User account passwords do not use reversible encryption.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1841,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Unprivileged user accounts cannot add machines to the domain.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1842,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Dedicated service accounts are used to add machines to the domain.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1843,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"User accounts with unconstrained delegation are reviewed at least annually, and those without an associated Kerberos SPN or demonstrated business requirement are removed.",,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services account hardening,ISM-1844,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Computer accounts that are not Microsoft AD DS domain controllers are not trusted for delegation to services.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1620,1,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,Privileged user accounts are members of the Protected Users security group.,,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1845,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,"When a user account is disabled, it is removed from all security group memberships.",,,
Guidelines for System Hardening,Server application hardening,Microsoft Active Directory Domain Services security group memberships,ISM-1846,0,45374,Yes,Yes,Yes,Yes,Yes,No,No,No,The Pre-Windows 2000 Compatible Access security group does not contain user accounts.,,,
Guidelines for System Hardening,Authentication hardening,Authenticating to systems,ISM-1546,0,45523,Yes,Yes,Yes,Yes,Yes,No,No,No,Users are authenticated before they are granted access to a system and its resources.,,,
Guidelines for System Hardening,Authentication hardening,Insecure authentication methods,ISM-1603,0,45524,Yes,Yes,Yes,Yes,Yes,No,No,No,Authentication methods susceptible to replay attacks are disabled.,,,
Guidelines for System Hardening,Authentication hardening,Insecure authentication methods,ISM-1055,4,45585,Yes,Yes,Yes,Yes,Yes,No,No,No,LAN Manager and NT LAN Manager authentication methods are disabled.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1504,3,45649,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication is used to authenticate users to their organisation’s online services that process, store or communicate their organisation’s sensitive data.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1679,1,45558,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation’s sensitive data.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1680,1,45558,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation’s non-sensitive data.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1892,0,45649,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication is used to authenticate users to their organisation’s online customer services that process, store or communicate their organisation’s sensitive customer data.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1893,0,45649,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication is used to authenticate users to third-party online customer services that process, store or communicate their organisation’s sensitive customer data.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1681,3,45649,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1173,4,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Multi-factor authentication is used to authenticate privileged users of systems.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-0974,6,45556,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Multi-factor authentication is used to authenticate unprivileged users of systems.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1505,3,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Multi-factor authentication is used to authenticate users of data repositories.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1401,5,45556,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Multi-factor authentication uses either: something users have and something users know, or something users have that is unlocked by something users know or are.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1872,1,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Multi-factor authentication used for authenticating users of online services is phishing-resistant.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1873,1,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Multi-factor authentication used for authenticating customers of online customer services provides a phishing-resistant option.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1874,1,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Multi-factor authentication used for authenticating customers of online customer services is phishing-resistant.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1682,3,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Multi-factor authentication used for authenticating users of systems is phishing-resistant.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1894,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Multi-factor authentication used for authenticating users of data repositories is phishing-resistant.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1559,2,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Memorised secrets used for multi-factor authentication are a minimum of 6 characters, unless more stringent requirements apply.",,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1560,2,45373,No,No,No,Yes,No,No,No,No,Memorised secrets used for multi-factor authentication on SECRET systems are a minimum of 8 characters.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1561,2,45373,No,No,No,No,Yes,No,No,No,Memorised secrets used for multi-factor authentication on TOP SECRET systems are a minimum of 10 characters.,,,
Guidelines for System Hardening,Authentication hardening,Multi-factor authentication,ISM-1683,2,45649,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Successful and unsuccessful multi-factor authentication events are centrally logged.,,,
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,ISM-0417,5,45584,Yes,Yes,Yes,Yes,Yes,No,No,No,"When systems cannot support multi-factor authentication, single-factor authentication using passphrases is implemented instead.",,,
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,ISM-0421,8,45647,Yes,Yes,Yes,Yes,Yes,No,No,No,"Passphrases used for single-factor authentication are at least 4 random words with a total minimum length of 14 characters, unless more stringent requirements apply.",,,
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,ISM-1557,2,45647,No,No,No,Yes,No,No,No,No,Passphrases used for single-factor authentication on SECRET systems are at least 5 random words with a total minimum length of 17 characters.,,,
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,ISM-0422,8,45647,No,No,No,No,Yes,No,No,No,Passphrases used for single-factor authentication on TOP SECRET systems are at least 6 random words with a total minimum length of 20 characters.,,,
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,ISM-1558,2,45373,Yes,Yes,Yes,Yes,Yes,No,No,No,"Passphrases used for single-factor authentication are not a list of categorised words; do not form a real sentence in a natural language; and are not constructed from song lyrics, movies, literature or any other publicly available material.",,,
Guidelines for System Hardening,Authentication hardening,Single-factor authentication,ISM-1895,0,45649,Yes,Yes,Yes,Yes,Yes,No,No,No,Successful and unsuccessful single-factor authentication events are centrally logged.,,,
